EbN0_dB,BER_RS,BER_bpsk
0.0,9.4605274664e-002,7.8649603525e-002
0.5,8.2273049327e-002,6.7065198330e-002
1.0,7.0604686099e-002,5.6281951977e-002
1.5,5.9704198430e-002,4.6401275956e-002
2.0,4.9718010090e-002,3.7506128359e-002
2.5,4.0682572870e-002,2.9655287626e-002
3.0,3.2710767937e-002,2.2878407561e-002
3.5,2.5762651345e-002,1.7172541679e-002
4.0,1.9917500000e-002,1.2500818041e-002
4.5,1.5081272422e-002,8.7938105306e-003
5.0,1.1205969731e-002,5.9538671478e-003
5.5,7.6639910314e-003,3.8622316428e-003
6.0,3.3526065022e-003,2.3882907809e-003
6.5,5.5805493274e-004,1.3998048395e-003
7.0,2.8901345291e-005,7.7267481538e-004
7.5,4.2040358744e-007,3.9879633516e-004
8.0,0.0000000000e+000,1.9090777408e-004
8.5,0.0000000000e+000,8.3999539179e-005
9.0,0.0000000000e+000,3.3627228420e-005
9.5,0.0000000000e+000,1.2108893277e-005
10.0,0.0000000000e+000,3.8721082155e-006
10.5,0.0000000000e+000,1.0838484217e-006
11.0,0.0000000000e+000,2.6130679536e-007
11.5,0.0000000000e+000,5.3286640363e-008
12.0,0.0000000000e+000,9.0060103506e-009
12.5,0.0000000000e+000,1.2330284466e-009
13.0,0.0000000000e+000,1.3329310175e-010
13.5,0.0000000000e+000,1.1054597857e-011
14.0,0.0000000000e+000,6.8101891288e-013
